Date,Ticker,% Return,High,Low,Open,Close,High %,Low %
03/01/2014,SAM,-0.021390915,225.479996,215.729996,223.460007,218.679993,0.0090396,-0.034592369
03/01/2014,VHI,-0.01,16,15.73,16,15.84,0,-0.016875
03/01/2014,YZC,-0.006075334,8.25,8.13,8.23,8.18,0.002430134,-0.012150668
06/01/2014,NMBL,-0.053339168,45.369999,42.689999,45.369999,42.950001,0,-0.059069871
06/01/2014,ARL,-0.011278195,5.36,5.26,5.32,5.26,0.007518797,-0.011278195
06/01/2014,CBK,0.013888889,8.19,7.92,7.92,8.03,0.034090909,0
07/01/2014,RT,-0.040880503,6.41,6.07,6.36,6.1,0.007861635,-0.045597484
07/01/2014,TRMR,-0.031007752,5.16,4.92,5.16,5,0,-0.046511628
07/01/2014,NCS,0.022383483,16.969999,16.4,16.530001,16.9,0.026618147,-0.007864549
08/01/2014,TXTR,-0.09441913,28.85,25.59,28.49,25.799999,0.012636013,-0.101790102
08/01/2014,HGG,-0.007915567,11.49,11.24,11.37,11.28,0.01055409,-0.011433597
08/01/2014,EDN,0.052727273,6,5.5,5.5,5.79,0.090909091,0
08/01/2014,DL,0.06099809,18.370001,16.23,16.23,17.219999,0.131854652,0
09/01/2014,TCS,-0.055762085,40.5,36.5,40.349998,38.099998,0.003717522,-0.095415073
09/01/2014,JCP,-0.005208333,7.78,7.6,7.68,7.64,0.013020833,-0.010416667
09/01/2014,AZZ,0.002236025,40.490002,40,40.25,40.34,0.005962783,-0.00621118
09/01/2014,TXTR,0.009859613,28.059999,25.75,26.370001,26.629999,0.0640879,-0.023511603
10/01/2014,SIG,-0.031720172,74,71.400002,73.769997,71.43,0.003117839,-0.032126814
10/01/2014,QIHU,-0.004667121,82.190002,79.989998,81.419998,81.040001,0.009457185,-0.017563253
10/01/2014,CALX,0.014527845,8.41,8.2,8.26,8.38,0.018159806,-0.007263923
10/01/2014,PIR,0.054767675,21.709999,20.450001,20.450001,21.57,0.061613591,0
10/01/2014,ZLC,0.079840319,16.91,14.9,15.03,16.23,0.125083167,-0.008649368
13/01/2014,NRP,-0.022485207,17.040001,16.35,16.9,16.52,0.008284083,-0.032544379
13/01/2014,SNX,-0.017752465,58.360001,56.630001,58.02,56.990002,0.005860065,-0.023957239
13/01/2014,NM,-0.004484305,9.24,8.58,8.92,8.88,0.035874439,-0.038116592
13/01/2014,SEM,0.00361991,11.13,10.86,11.05,11.09,0.007239819,-0.01719457
14/01/2014,ZLC,-0.008783784,15.22,14.43,14.8,14.67,0.028378378,-0.025
14/01/2014,NES,0.001470588,14.29,13.26,13.6,13.62,0.050735294,-0.025
14/01/2014,PGEM,0.017857143,14.35,13.84,14,14.25,0.025,-0.011428571
15/01/2014,WWW,-0.003925384,30.85,30.23,30.57,30.450001,0.009159307,-0.011122015
15/01/2014,APU,0.003537665,42.669998,42.139999,42.400002,42.549999,0.00636783,-0.006132146
15/01/2014,GME,0.006260179,37.029999,36.25,36.740002,36.970001,0.007893222,-0.013337016
15/01/2014,BTH,0.032769556,9.79,9.36,9.46,9.77,0.034883721,-0.010570825
16/01/2014,NUS,-0.055574094,95.830002,67.510002,89.790001,84.800003,0.06726808,-0.248134522
16/01/2014,MEG,0.010821397,21.16,20.110001,20.33,20.549999,0.040826365,-0.010821397
16/01/2014,KOS,0.01773399,10.34,9.88,10.15,10.33,0.018719212,-0.026600985
17/01/2014,BBY,-0.095520178,27.049999,24.41,27.01,24.43,0.001480896,-0.096260644
17/01/2014,HLF,-0.027296675,74,68.230003,72.169998,70.199997,0.025356825,-0.054593254
17/01/2014,AGI,-0.021153846,10.55,10.08,10.4,10.18,0.014423077,-0.030769231
17/01/2014,NUS,-0.010582657,85.639999,74.129997,80.32,79.470001,0.066235047,-0.07706677
17/01/2014,USNA,0.009491542,59.970001,58.5,59,59.560001,0.016440695,-0.008474576
21/01/2014,GTI,-0.053917439,11.88,11.06,11.87,11.23,0.00084246,-0.068239259
21/01/2014,SSNI,-0.043697479,18.01,17,17.85,17.07,0.008963585,-0.047619048
21/01/2014,EPE,-0.008690929,18.549999,18,18.41,18.25,0.007604508,-0.022270505
21/01/2014,BBY,-0.004880073,25.09,24.25,24.59,24.469999,0.020333469,-0.013826759
22/01/2014,WLT,-0.013209013,12.98,12.43,12.87,12.7,0.008547009,-0.034188034
22/01/2014,SID,0.003809524,5.39,5.2,5.25,5.27,0.026666667,-0.00952381
22/01/2014,SKX,0.017738434,27.799999,27.059999,27.059999,27.540001,0.027346638,0
22/01/2014,RT,0.027624309,5.59,5.35,5.43,5.58,0.02946593,-0.014732965
23/01/2014,YPF,-0.16139127,28.75,23,28.75,24.110001,0,-0.2
23/01/2014,PNX,-0.009190764,44.610001,42.77,44.610001,44.200001,0,-0.041246379
23/01/2014,JE,0.008522727,7.16,6.97,7.04,7.1,0.017045455,-0.009943182
24/01/2014,YPF,-0.095836571,25.6,23,25.459999,23.02,0.005498861,-0.096622117
24/01/2014,EBS,-0.036271575,23.9,22.6,23.709999,22.85,0.008013539,-0.046815649
24/01/2014,HRC,0.008906937,37.450001,36.150002,37.049999,37.380001,0.010796276,-0.024291418
27/01/2014,DL,-0.071144279,20.58,17.5,20.1,18.67,0.023880597,-0.129353234
27/01/2014,IGT,-0.022606383,15.08,14.42,15.04,14.7,0.002659574,-0.041223404
27/01/2014,KSU,-0.010858697,100.540001,98.220001,100.379997,99.290001,0.001593983,-0.021518192
27/01/2014,HCI,0.000438885,46.439999,43.360001,45.57,45.59,0.019091486,-0.048496796
27/01/2014,JKS,0.037063472,30.49,27.92,28.059999,29.1,0.086600181,-0.004989273
28/01/2014,RGS,0.033476395,12.22,11.48,11.65,12.04,0.048927039,-0.014592275
28/01/2014,BITA,0.073590062,32.990002,29.030001,29.08,31.219999,0.13445674,-0.00171936
28/01/2014,XRS,0.108537693,24.68,21.969999,22.02,24.41,0.120799273,-0.002270708
29/01/2014,NGVC,-0.02869571,34.599998,33.509998,34.5,33.509998,0.002898493,-0.02869571
29/01/2014,CPAC,-0.028600613,9.86,9.19,9.79,9.51,0.007150153,-0.061287028
29/01/2014,MX,-0.004388715,16.200001,15.66,15.95,15.88,0.015674044,-0.018181818
29/01/2014,ATE,0.014611872,11.18,10.89,10.95,11.11,0.021004566,-0.005479452
29/01/2014,MHG,0.023275145,13,12,12.03,12.31,0.080631754,-0.002493766
30/01/2014,BCA,-0.015652174,17.459999,16.860001,17.25,16.98,0.012173855,-0.022608638
30/01/2014,TGI,0.007242063,68.949997,66.809998,67.660004,68.150002,0.019065813,-0.012562902
30/01/2014,NMBL,0.015607397,45.209999,43.02,44.209999,44.900002,0.022619317,-0.026916965
30/01/2014,NADL,0.03587963,9,8.61,8.64,8.95,0.041666667,-0.003472222
30/01/2014,ZQK,0.042432815,7.44,7.03,7.07,7.37,0.052333805,-0.005657709
31/01/2014,MPO,-0.073412698,5.06,4.51,5.04,4.67,0.003968254,-0.10515873
31/01/2014,ESI,-0.028741328,31.16,29.209999,30.27,29.4,0.029402048,-0.035018203
31/01/2014,NSR,-0.027825645,34.970001,33.389999,34.860001,33.889999,0.003155479,-0.042168731
31/01/2014,ADT,-0.014112176,30.860001,29.959999,30.469999,30.040001,0.012799541,-0.016737775
31/01/2014,HGG,-0.006016847,8.43,8.07,8.31,8.26,0.014440433,-0.028880866
03/02/2014,NEM,-0.03133645,21.85,21,21.700001,21.02,0.006912396,-0.032258109
03/02/2014,HGR,-0.029455578,33.610001,32.490002,33.610001,32.619999,0,-0.033323385
03/02/2014,GDOT,0.034914996,23.15,21.780001,22.34,23.120001,0.036257833,-0.025067099
04/02/2014,YUME,-0.014144272,7.09,6.87,7.07,6.97,0.002828854,-0.028288543
04/02/2014,TREX,0.004699232,66.150002,63.32,63.84,64.139999,0.036184242,-0.008145363
04/02/2014,UVE,0.007912957,10.4,9.71,10.11,10.19,0.028684471,-0.039564787
05/02/2014,BRO,0.017302225,28.82,27.77,28.32,28.809999,0.017655367,-0.019420904
05/02/2014,DNB,0.027252583,97.879997,94.290001,94.669998,97.25,0.033907247,-0.004013912
05/02/2014,JCP,0.031620553,5.3,4.9,5.06,5.22,0.04743083,-0.031620553
05/02/2014,GDOT,0.059132096,22.610001,20.389999,20.969999,22.209999,0.078207061,-0.027658561
06/02/2014,BBG,-0.026452646,23.370001,22.35,23.059999,22.450001,0.013443279,-0.030789203
06/02/2014,DDD,0.045527979,67.18,60.25,61.939999,64.760002,0.084598016,-0.027284453
06/02/2014,SFUN,0.058635099,76.989999,71.77,71.799998,76.009998,0.072284139,-0.000417799
06/02/2014,WAGE,0.067284904,58.799999,54.98,54.990002,58.689999,0.069285268,-0.000181888
06/02/2014,WUBA,0.128039389,37.110001,32.240002,32.490002,36.650002,0.14219756,-0.007694675
07/02/2014,RRTS,-0.026845638,22.6,21.690001,22.35,21.75,0.011185682,-0.029530157
07/02/2014,SPR,0.032430371,27.459999,26.200001,26.209999,27.059999,0.047691723,-0.000381457
07/02/2014,TWTR,0.060901776,54.919998,50.75,51.23,54.349998,0.072028069,-0.00936951
07/02/2014,P,0.061514749,34.970001,32.32,32.349998,34.34,0.080989279,-0.000927295
10/02/2014,CI,-0.009167192,77.470001,76.290001,77.449997,76.739998,0.000258283,-0.014977354
10/02/2014,G,0.001381215,14.75,14.31,14.48,14.5,0.018646409,-0.011740331
10/02/2014,NCR,0.030937563,33.049999,31.9,32,32.990002,0.032812469,-0.003125
11/02/2014,LIN,-0.036898645,21.41,20.54,21.41,20.62,0,-0.040635217
11/02/2014,NKA,0.000687285,14.68,14.35,14.55,14.56,0.008934708,-0.013745704
11/02/2014,HBM,0.011306533,8.17,7.9,7.96,8.05,0.02638191,-0.007537688
11/02/2014,BWP,0.043512044,14.4,12.76,12.87,13.43,0.118881119,-0.008547009
11/02/2014,DAC,0.0546875,6.8,6.16,6.4,6.75,0.0625,-0.0375
12/02/2014,RAX,-0.042857201,32.91,30.959999,32.900002,31.49,0.000303891,-0.058966653
12/02/2014,NSP,0.004758455,28.01,27.32,27.32,27.450001,0.025256223,0
12/02/2014,BLOX,0.021947102,18.379999,17.610001,17.77,18.16,0.034327462,-0.009003883
12/02/2014,CBM,0.041448113,19.870001,19.040001,19.059999,19.85,0.042497484,-0.001049213
13/02/2014,MIL,-0.0135318,7.39,7.26,7.39,7.29,0,-0.01759134
13/02/2014,BNNY,0.04,37.42,34.9,35.5,36.92,0.054084507,-0.016901408
13/02/2014,WCG,0.042849528,58.98,55.799999,56.009998,58.41,0.053026283,-0.003749313
13/02/2014,IFT,0.075925926,5.84,5.4,5.4,5.81,0.081481481,0
14/02/2014,NKA,-0.073987539,12.84,11.3,12.84,11.89,0,-0.119937695
14/02/2014,URS,0.019031955,43.4,42.24,42.56,43.37,0.019736842,-0.007518797
14/02/2014,LF,0.031397174,6.63,6.25,6.37,6.57,0.040816327,-0.018838305
14/02/2014,IPI,0.034433286,14.59,13.63,13.94,14.42,0.046628407,-0.022238164
14/02/2014,MN,0.082644628,15.78,14.43,14.52,15.72,0.08677686,-0.006198347
18/02/2014,WTW,-0.053442029,22.08,20.82,22.08,20.9,0,-0.057065217
18/02/2014,GNC,-0.014412351,45.099998,43.939999,45.099998,44.450001,0,-0.0257206
18/02/2014,DCO,-0.009019608,26.48,24.879999,25.5,25.27,0.038431373,-0.024313765
18/02/2014,TRLA,0.030625832,30.98,30,30.04,30.96,0.031291611,-0.001331558
18/02/2014,CHGG,0.035313002,6.54,6.09,6.23,6.45,0.04975923,-0.02247191
19/02/2014,ELP,0.008982036,10.21,9.99,10.02,10.11,0.018962076,-0.002994012
19/02/2014,GGB,0.011182109,6.48,6.23,6.26,6.33,0.03514377,-0.004792332
19/02/2014,WWW,0.02027027,25.74,25.129999,25.16,25.67,0.023052464,-0.001192409
19/02/2014,CPL,0.03993894,13.649995,13.02,13.02,13.540005,0.048386713,0
20/02/2014,SM,-0.01780826,73.400002,70.389999,73,71.699997,0.005479479,-0.035753438
20/02/2014,NM,0.051783659,9.54,8.53,8.69,9.14,0.097813579,-0.018411968
21/02/2014,EIG,-0.056190476,22.360001,19.6,21,19.82,0.064761952,-0.066666667
21/02/2014,MM,-0.043831169,6.17,5.81,6.16,5.89,0.001623377,-0.056818182
21/02/2014,FCN,0.002022893,30.290001,29.32,29.66,29.719999,0.021240762,-0.01146325
21/02/2014,GDP,0.024252223,13.13,12.03,12.37,12.67,0.061438965,-0.027485853
21/02/2014,CRY,0.039278132,9.91,9.08,9.42,9.79,0.052016985,-0.036093418
24/02/2014,COG,-0.011095618,36.330002,35.380001,36.049999,35.650002,0.007767074,-0.018585243
24/02/2014,VCRA,0.002444927,16.52,16.15,16.360001,16.4,0.009779889,-0.012836246
24/02/2014,FLTX,0.01086962,37.25,35.32,36.799999,37.200001,0.012228288,-0.040217365
24/02/2014,MRC,0.027611044,25.969999,24.9,24.99,25.68,0.039215646,-0.003601441
25/02/2014,KMG,-0.008,15.18,14.77,15,14.88,0.012,-0.015333333
25/02/2014,AWI,-0.005170877,54.169998,53.099998,54.150002,53.869999,0.000369271,-0.019390655
25/02/2014,VHI,0,11.46,11.04,11.34,11.34,0.010582011,-0.026455026
25/02/2014,JCP,0.066287879,5.64,5.23,5.28,5.63,0.068181818,-0.009469697
26/02/2014,ANFI,-0.085020243,20.35,18.040001,19.76,18.08,0.0298583,-0.087044484
26/02/2014,JONE,0.007083065,15.86,15.1,15.53,15.64,0.021249195,-0.027688345
26/02/2014,THC,0.01487757,44.990002,43.310001,43.689999,44.34,0.029755162,-0.008697597
26/02/2014,TREX,0.023784395,79.110001,74.5,75.68,77.480003,0.045322423,-0.015591966
27/02/2014,VLRS,-0.049494949,9.91,9.29,9.9,9.41,0.001010101,-0.061616162
27/02/2014,CLH,0.016949175,46.639999,45.060001,45.43,46.200001,0.026634361,-0.008144376
27/02/2014,CRCM,0.021417643,20.59,19.139999,19.610001,20.030001,0.049974449,-0.023967464
27/02/2014,DGI,0.044444444,31.67,29.75,30.15,31.49,0.050414594,-0.013266998
