Date,Ticker,% Return,High,Low,Open,Close,Low %,High %
03/01/2014,SA,-0.018315018,8.35,8.01,8.19,8.04,-0.021978022,0.01953602
03/01/2014,CCSC,0.000851789,12.79,11.72,11.74,11.75,-0.001703578,0.089437819
03/01/2014,TAOM,0.047933884,6.49,6.01,6.05,6.34,-0.00661157,0.072727273
03/01/2014,YGE,0.050874404,6.7,6.07,6.29,6.61,-0.034976153,0.06518283
06/01/2014,GCAP,-0.029801325,9.06,8.7,9.06,8.79,-0.039735099,0
06/01/2014,TSU,-0.006389776,28.24,27.85,28.17,27.99,-0.011359602,0.002484913
06/01/2014,EDN,0.040540541,6.46,5.92,5.92,6.16,0,0.091216216
07/01/2014,LITB,-0.035643564,10.1,9.32,10.1,9.74,-0.077227723,0
07/01/2014,TAOM,-0.024096386,7.78,7.21,7.47,7.29,-0.03480589,0.041499331
07/01/2014,JKS,0.012208629,37.630001,35.07,36.040001,36.48,-0.026914566,0.044117646
07/01/2014,DAC,0.024469821,6.55,6.12,6.13,6.28,-0.001631321,0.068515498
07/01/2014,P,0.039077516,33.700001,31.200001,31.219999,32.439999,-0.000640551,0.079436325
08/01/2014,SFUN,0.006697398,92.410002,89.709997,91.079998,91.689997,-0.015041733,0.014602591
08/01/2014,VRX,0.010395338,135.729996,126.550003,126.980003,128.300003,-0.00338636,0.068908433
08/01/2014,WUBA,0.019535995,43.77,40.77,40.950001,41.75,-0.004395629,0.068864443
08/01/2014,VIPS,0.024911471,94.27,88.870001,90.319996,92.57,-0.016053975,0.043733439
09/01/2014,BITA,-0.046814352,36.099998,33.75,36.099998,34.41,-0.065096901,0
09/01/2014,FRX,0.001302837,70.14,68.62,69.08,69.17,-0.006658946,0.015344528
10/01/2014,M,-0.002500893,56.09,55.259998,55.98,55.84,-0.012861772,0.001964987
10/01/2014,MG,0.004455164,24.9,24.459999,24.690001,24.799999,-0.009315593,0.008505427
10/01/2014,NDZ,0.028969957,9.63,9.32,9.32,9.59,0,0.033261803
10/01/2014,AYI,0.034628006,134,127.169998,128.220001,132.660004,-0.008189073,0.045078763
10/01/2014,IOC,0.036553524,52.110001,49.669998,49.790001,51.610001,-0.002410183,0.046595701
13/01/2014,ZLC,-0.085080148,16.51,14.71,16.22,14.84,-0.093094945,0.017879162
13/01/2014,PMC,-0.054368932,25.75,23.4,25.75,24.35,-0.091262136,0
13/01/2014,XON,-0.049603175,30.440001,28.309999,30.24,28.74,-0.063822784,0.00661379
13/01/2014,ANF,-0.02613856,37.169998,35.790001,37.110001,36.139999,-0.035569926,0.001616734
13/01/2014,SWS,0.016216216,7.63,7.33,7.4,7.52,-0.009459459,0.031081081
14/01/2014,BEAM,-0.000960846,83.4,83.15,83.26,83.18,-0.001321163,0.00168148
14/01/2014,NPO,0.020038992,73.379997,71.610001,71.860001,73.300003,-0.003478987,0.021152185
15/01/2014,MVNR,-0.015612161,12.44,11.88,12.17,11.98,-0.023829088,0.022185703
15/01/2014,DAN,0.004840271,20.940001,20.58,20.66,20.76,-0.003872217,0.013552807
15/01/2014,BBW,0.035294118,8.99,8.49,8.5,8.8,-0.001176471,0.057647059
16/01/2014,WBAI,-0.082119792,42,38.360001,41.889999,38.450001,-0.084268276,0.002625949
16/01/2014,NQ,-0.019435737,16.299999,15.34,15.95,15.64,-0.038244514,0.021943511
16/01/2014,NMBL,0.01188964,49.41,46.02,47.099998,47.66,-0.022929895,0.049044631
16/01/2014,ATHM,0.013001299,38.650002,35.549999,36.150002,36.619999,-0.016597592,0.069156289
17/01/2014,DQ,-0.032935498,47.130001,43.349998,45.240002,43.75,-0.041777275,0.041777164
17/01/2014,AOL,-0.024404323,52.220001,50.240002,52.040001,50.77,-0.034588758,0.003458878
17/01/2014,CCM,0.001669449,6.35,5.9,5.99,6,-0.015025042,0.060100167
17/01/2014,NAT,0.020795202,11.649999,11.020001,11.060003,11.289998,-0.003616816,0.053345013
21/01/2014,RCAP,-0.002227216,22.49,21.139999,22.450001,22.4,-0.05835198,0.001781693
21/01/2014,ESI,0.007992917,45.799999,44.599998,45.040001,45.400002,-0.009769161,0.016873845
22/01/2014,PBYI,-0.071857129,143.649994,128.320007,140,129.940002,-0.083428521,0.026071386
22/01/2014,NAT,-0.043859181,12.589997,11.780004,12.539997,11.990003,-0.060605517,0.003987242
23/01/2014,XUE,-0.04295302,7.45,6.81,7.45,7.13,-0.08590604,0
23/01/2014,RSH,0,47.85,47.85,47.85,47.85,0,0
24/01/2014,ETH,-0.031342219,27.120001,26,27.120001,26.27,-0.04129797,0
24/01/2014,BIOA,-0.027447392,11.59,10.5,10.93,10.63,-0.039341263,0.060384263
24/01/2014,GMT,-0.027058449,61.16,58.299999,60.240002,58.610001,-0.032204564,0.015272211
24/01/2014,DEG,-0.015144729,66.699997,65.68,66.690002,65.68,-0.015144729,0.000149873
24/01/2014,FIO,-0.013207547,10.67,10.16,10.6,10.46,-0.041509434,0.006603774
27/01/2014,GIMO,-0.040038133,31.540001,29.1,31.469999,30.209999,-0.075309789,0.002224404
27/01/2014,TXI,-0.035198921,74.27,70.64,74.15,71.54,-0.04733648,0.001618341
27/01/2014,CRCM,-0.008758001,27.82,24.9,25.120001,24.9,-0.008758001,0.107484032
27/01/2014,JNPR,0.004316583,28.040001,27.469999,27.799999,27.92,-0.011870504,0.008633166
28/01/2014,BFR,-0.026470588,7,6.51,6.8,6.62,-0.042647059,0.029411765
28/01/2014,RYN,-0.015295899,45.170001,43.630001,45.109999,44.420001,-0.032808646,0.001330126
28/01/2014,YPF,-0.012524423,26.110001,24.299999,25.549999,25.23,-0.048923681,0.021917887
28/01/2014,SMI,0.005964215,5.07,4.99,5.03,5.06,-0.007952286,0.007952286
28/01/2014,MM,0.131081081,8.44,7.33,7.4,8.37,-0.009459459,0.140540541
29/01/2014,WBAI,-0.080369494,43.299999,39.509998,43.299999,39.82,-0.087528893,0
29/01/2014,DL,-0.037327279,21.780001,20.16,21.700001,20.889999,-0.070967785,0.003686636
29/01/2014,XRS,-0.010373444,24.34,23.620001,24.1,23.85,-0.019916971,0.009958506
29/01/2014,KRA,0.014729868,25.01,24.370001,24.440001,24.799999,-0.002864157,0.02332238
29/01/2014,AKS,0.025297619,7.11,6.6,6.72,6.89,-0.017857143,0.058035714
30/01/2014,CRCM,-0.036759458,28.540001,26.120001,28.02,26.99,-0.067808672,0.018558208
30/01/2014,BIOA,0.0041841,12.15,11.59,11.95,12,-0.030125523,0.016736402
30/01/2014,MTOR,0.029300567,11.26,10.42,10.58,10.89,-0.015122873,0.064272212
30/01/2014,FSL,0.030028329,18.190001,17.469999,17.65,18.18,-0.010198357,0.030594958
31/01/2014,PBI,-0.015252249,26,25.15,25.57,25.18,-0.016425499,0.016816582
31/01/2014,NOW,-0.008751398,64.690002,62.310001,63.990002,63.43,-0.026254117,0.010939209
31/01/2014,HAR,0.029666531,105.580002,100.400002,100.449997,103.43,-0.00049771,0.051070235
31/01/2014,UA,0.047171669,108.720001,102.589996,103.239998,108.110001,-0.006296029,0.053080232
03/02/2014,NWHM,-0.060465116,12.9,12.02,12.9,12.12,-0.068217054,0
03/02/2014,UFS,-0.036004844,110.199997,103.040001,106.93,103.080002,-0.03637893,0.030580726
03/02/2014,MTW,-0.033747744,28.85,27.01,28.15,27.200001,-0.040497336,0.024866785
03/02/2014,CMG,-0.012740608,553.780029,535.349976,550.210022,543.200012,-0.027007952,0.006488444
03/02/2014,NGVC,-0.000263105,38.240002,37.400002,38,37.990002,-0.015789421,0.006315842
04/02/2014,HLF,-0.038725434,71.18,65.32,69.980003,67.269997,-0.066590494,0.017147713
04/02/2014,JRN,-0.016374269,8.68,8.38,8.55,8.41,-0.019883041,0.015204678
04/02/2014,MSL,-0.012688762,16.700001,16.16,16.549999,16.34,-0.023564896,0.009063566
04/02/2014,TTF,-0.004110997,9.74,9.6,9.73,9.69,-0.01336074,0.001027749
04/02/2014,ARL,0,6.48,6.28,6.44,6.44,-0.02484472,0.00621118
05/02/2014,HW,-0.018808777,13.15,12.47,12.76,12.52,-0.022727273,0.030564263
05/02/2014,NAV,0.01589731,33.669998,32.209999,32.709999,33.23,-0.015285846,0.029348793
05/02/2014,KORS,0.03349173,91.730003,88.379997,88.379997,91.339996,0,0.037904572
05/02/2014,CWEI,0.104285701,87.410004,77,77,85.029999,0,0.135194857
06/02/2014,USNA,-0.063081451,68.980003,64,68.800003,64.459999,-0.069767482,0.002616279
06/02/2014,CWEI,-0.018053938,90.400002,83.209999,85.300003,83.760002,-0.024501805,0.059788966
06/02/2014,DATA,-0.002926303,90.379997,87.099998,88.849998,88.589996,-0.019696117,0.017220023
06/02/2014,NSH,0.001299091,31.18,30.26,30.790001,30.83,-0.017213413,0.012666417
07/02/2014,MMS,-0.030184825,48.919998,46.919998,48.700001,47.23,-0.036550369,0.004517392
07/02/2014,WUBA,-0.020193747,36.389999,34.599998,36.150002,35.419998,-0.04287701,0.006638921
07/02/2014,YELP,-0.001786268,90.529999,87.580002,89.57,89.410004,-0.022217238,0.010717863
07/02/2014,MWW,0.029085873,7.81,7.15,7.22,7.43,-0.009695291,0.081717452
10/02/2014,PBYI,-0.000797687,128.600006,123.269997,125.370003,125.269997,-0.016750466,0.025763763
10/02/2014,IMN,0.041916168,5.25,4.97,5.01,5.22,-0.007984032,0.047904192
10/02/2014,ARX,0.042038217,8.34,7.81,7.85,8.18,-0.005095541,0.062420382
10/02/2014,LCI,0.050371536,38.439999,35.700001,36.330002,38.16,-0.017341067,0.058078637
10/02/2014,ARL,0.231469441,9.84,7.69,7.69,9.47,0,0.279583875
11/02/2014,TCI,-0.015384615,16.25,15.6,16.25,16,-0.04,0
11/02/2014,BKS,-0.011228883,16.23,15.76,16.03,15.850001,-0.016843419,0.012476606
11/02/2014,HGG,0.028202115,8.96,8.15,8.51,8.75,-0.042303173,0.052878966
11/02/2014,ARL,0.028353326,10.34,9.17,9.17,9.43,0,0.127589967
11/02/2014,FMD,0.028481013,6.6,6.16,6.32,6.5,-0.025316456,0.044303797
12/02/2014,CAP,-0.045798177,22.66,21.35,22.49,21.459999,-0.050689195,0.007558915
12/02/2014,TTI,-0.012291484,11.55,11.17,11.39,11.25,-0.019315189,0.01404741
12/02/2014,MODN,0.012244898,12.53,11.91,12.25,12.4,-0.027755102,0.022857143
12/02/2014,MNK,0.019550554,66.589996,63.200001,64.959999,66.230003,-0.027093566,0.025092319
13/02/2014,PKG,-0.009305528,72.349998,71.120003,72,71.330002,-0.012222181,0.004861083
13/02/2014,ACO,0.002910502,41.53,41.23,41.23,41.35,0,0.007276255
13/02/2014,FSL,0.025490196,21.08,20.35,20.4,20.92,-0.00245098,0.033333333
13/02/2014,BFR,0.051805338,6.85,6.23,6.37,6.7,-0.021978022,0.075353218
13/02/2014,MRIN,0.093942054,12.57,11.13,11.39,12.46,-0.022827041,0.103599649
14/02/2014,OWW,-0.010135135,9.2,8.55,8.88,8.79,-0.037162162,0.036036036
14/02/2014,SKX,-0.005049116,35.979999,35.139999,35.650002,35.470001,-0.014305834,0.009256577
14/02/2014,IBP,0.018808777,13.2,12.65,12.76,13,-0.00862069,0.034482759
18/02/2014,BFR,-0.027100271,7.49,7,7.38,7.18,-0.051490515,0.014905149
18/02/2014,BMA,-0.018300653,23.35,21.799999,22.950001,22.530001,-0.050109017,0.01742915
18/02/2014,ELLI,0.02182807,30.389999,28.58,29.32,29.959999,-0.025238745,0.036493827
18/02/2014,JE,0.061842105,8.1,7.59,7.6,8.07,-0.001315789,0.065789474
19/02/2014,CHE,-0.032341527,85.290001,81.730003,85.029999,82.279999,-0.038809785,0.003057768
19/02/2014,WUBA,-0.015736116,40.43,37.700001,39.400002,38.779999,-0.043147231,0.02614208
19/02/2014,EPL,-0.014028056,30.37,29.14,29.94,29.52,-0.026720107,0.014362057
19/02/2014,FRX,0.025422804,94.675,91.35,91.65,93.98,-0.003273322,0.033006001
20/02/2014,CCM,-0.008152174,7.4,7.09,7.36,7.3,-0.036684783,0.005434783
20/02/2014,SIG,0.003621687,95.050003,93.220001,93.879997,94.220001,-0.007030209,0.012462783
20/02/2014,ZLC,0.003825921,21,20.86,20.91,20.99,-0.0023912,0.004304161
20/02/2014,NBR,0.017137517,22.77,21.530001,21.59,21.959999,-0.002779018,0.054654933
21/02/2014,AVG,-0.059123442,20.07,18.42,19.620001,18.459999,-0.061162127,0.022935728
21/02/2014,BAS,-0.030769231,24.09,22.639999,23.4,22.68,-0.032478675,0.029487179
21/02/2014,HCI,-0.019852123,47.5,45.59,47.349998,46.41,-0.03716997,0.003167941
24/02/2014,CCM,0.005714286,9.37,8.5,8.75,8.8,-0.028571429,0.070857143
24/02/2014,SSTK,0.021989168,101.529999,98.129997,98.230003,100.389999,-0.00101808,0.033594583
24/02/2014,ESC,0.025207182,30.1,28.95,28.96,29.69,-0.000345304,0.039364641
25/02/2014,TREX,-0.06960469,82.349998,74.68,81.459999,75.790001,-0.083231022,0.010925596
25/02/2014,SMP,-0.020559211,37.02,35.560001,36.48,35.73,-0.025219271,0.014802632
26/02/2014,XON,-0.091752577,29.469999,26.309999,29.1,26.43,-0.095876323,0.012714742
26/02/2014,HVTA,0,182.5,182.5,182.5,182.5,0,0
27/02/2014,ANF,-0.022132722,39.759998,38.669998,39.759998,38.880001,-0.027414488,0
27/02/2014,WLT,0.017132552,11.48,10.93,11.09,11.28,-0.014427412,0.035166817
27/02/2014,SUNE,0.029713614,19.41,17.860001,18.51,19.059999,-0.035116099,0.048622366
27/02/2014,BITA,0.039119251,40.549999,38.110001,38.599998,40.110001,-0.012694223,0.050518163
